epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.849,0.66244,0.50967,0.91119,0.9352,0.93009,0.96687,0.82866,0.58536,0.45993,0.87731,0.000665842,0.000665842,0.000665842
2,257.783,0.69117,0.53579,0.91761,0.92871,0.90336,0.95946,0.81533,0.61881,0.5157,0.88312,0.00130612,0.00130612,0.00130612
3,381.139,0.70342,0.54557,0.92746,0.93324,0.92321,0.96644,0.81929,0.61389,0.47367,0.88145,0.00192001,0.00192001,0.00192001
4,504.718,0.71232,0.54257,0.92766,0.92871,0.93754,0.97081,0.82899,0.595,0.4511,0.88419,0.0018812,0.0018812,0.0018812
5,628.348,0.6981,0.53684,0.92682,0.9347,0.92837,0.97317,0.8321,0.59637,0.44852,0.87572,0.0018416,0.0018416,0.0018416
6,751.742,0.67061,0.50609,0.91456,0.93612,0.94957,0.97948,0.83945,0.59821,0.42158,0.87373,0.001802,0.001802,0.001802
7,875.517,0.66874,0.4929,0.91726,0.93962,0.92754,0.97352,0.84679,0.55606,0.42133,0.8667,0.0017624,0.0017624,0.0017624
8,997.486,0.65267,0.4912,0.9105,0.94671,0.94684,0.98148,0.86612,0.53037,0.3826,0.86203,0.0017228,0.0017228,0.0017228
9,1120.86,0.64391,0.47714,0.90277,0.96225,0.93811,0.98174,0.86158,0.54642,0.37881,0.86384,0.0016832,0.0016832,0.0016832
10,1242.46,0.62377,0.45177,0.89721,0.96109,0.94499,0.98488,0.88198,0.50183,0.36133,0.84776,0.0016436,0.0016436,0.0016436
11,1363.56,0.62755,0.45629,0.90212,0.94779,0.9466,0.98383,0.86844,0.52711,0.37399,0.86106,0.001604,0.001604,0.001604
12,1485.18,0.59772,0.43851,0.8903,0.95525,0.94198,0.98417,0.87679,0.49852,0.35641,0.849,0.0015644,0.0015644,0.0015644
13,1607.76,0.6018,0.42826,0.89017,0.9547,0.95407,0.98461,0.88272,0.49999,0.33788,0.84625,0.0015248,0.0015248,0.0015248
14,1729.78,0.58777,0.42099,0.88641,0.96417,0.94063,0.98511,0.88462,0.48967,0.33808,0.84632,0.0014852,0.0014852,0.0014852
15,1852.7,0.59167,0.42624,0.89001,0.96266,0.94562,0.98622,0.8874,0.48867,0.33259,0.84494,0.0014456,0.0014456,0.0014456
16,1974.56,0.58019,0.41761,0.88439,0.9597,0.94785,0.98542,0.89364,0.46769,0.32841,0.84117,0.001406,0.001406,0.001406
17,2095.84,0.58113,0.41245,0.88917,0.96324,0.94604,0.98785,0.89615,0.46137,0.31808,0.83961,0.0013664,0.0013664,0.0013664
18,2218.7,0.57121,0.40101,0.88364,0.96123,0.95198,0.98629,0.88984,0.47095,0.33896,0.84564,0.0013268,0.0013268,0.0013268
19,2342.04,0.56217,0.39234,0.88108,0.95425,0.95621,0.98604,0.89596,0.46074,0.31751,0.83809,0.0012872,0.0012872,0.0012872
20,2465.76,0.55684,0.39261,0.87978,0.96176,0.95135,0.98615,0.89541,0.45214,0.31647,0.83476,0.0012476,0.0012476,0.0012476
21,2589.13,0.55597,0.39149,0.87523,0.96361,0.95592,0.98409,0.90134,0.44881,0.31474,0.83303,0.001208,0.001208,0.001208
22,2711.4,0.54879,0.38376,0.88023,0.96117,0.95053,0.98586,0.90537,0.43878,0.31293,0.83268,0.0011684,0.0011684,0.0011684
23,2833.84,0.54568,0.38282,0.87422,0.96348,0.95249,0.98763,0.89973,0.44766,0.30683,0.83437,0.0011288,0.0011288,0.0011288
24,2957.88,0.5383,0.37215,0.87393,0.96914,0.95376,0.98835,0.90628,0.43333,0.29463,0.83155,0.0010892,0.0010892,0.0010892
25,3080.48,0.53418,0.37033,0.87202,0.96405,0.95072,0.98722,0.90809,0.43998,0.29737,0.8322,0.0010496,0.0010496,0.0010496
26,3202.78,0.53123,0.36548,0.86973,0.9659,0.95244,0.98756,0.90358,0.43673,0.30427,0.83272,0.00101,0.00101,0.00101
27,3326.28,0.52398,0.36015,0.8732,0.9579,0.9648,0.98878,0.90849,0.43513,0.28836,0.83002,0.0009704,0.0009704,0.0009704
28,3447.85,0.51708,0.35701,0.8672,0.96616,0.94891,0.98842,0.9144,0.41953,0.2866,0.82798,0.0009308,0.0009308,0.0009308
29,3571.21,0.51074,0.35375,0.86538,0.95821,0.96046,0.98867,0.91372,0.42159,0.28219,0.82478,0.0008912,0.0008912,0.0008912
30,3694.66,0.5117,0.34608,0.86962,0.97365,0.95358,0.98876,0.91747,0.41271,0.27798,0.82615,0.0008516,0.0008516,0.0008516
31,3816.85,0.50293,0.3403,0.86468,0.96868,0.95724,0.99007,0.91685,0.42006,0.27591,0.82882,0.000812,0.000812,0.000812
32,3939.74,0.50249,0.34326,0.86328,0.96582,0.95526,0.99022,0.91539,0.41667,0.27161,0.8255,0.0007724,0.0007724,0.0007724
33,4062.98,0.49165,0.33351,0.86108,0.96904,0.95473,0.98978,0.91981,0.40494,0.27308,0.8245,0.0007328,0.0007328,0.0007328
34,4185.34,0.48977,0.3303,0.85656,0.96699,0.95676,0.98937,0.91801,0.40871,0.27012,0.82368,0.0006932,0.0006932,0.0006932
35,4305.2,0.48218,0.32277,0.85525,0.9638,0.96136,0.98985,0.91941,0.40489,0.26498,0.82517,0.0006536,0.0006536,0.0006536
36,4427.07,0.48236,0.3235,0.85913,0.96676,0.95473,0.99062,0.92212,0.40635,0.26565,0.82418,0.000614,0.000614,0.000614
37,4550.59,0.47749,0.32295,0.85771,0.9659,0.95931,0.98952,0.92071,0.39729,0.26688,0.8225,0.0005744,0.0005744,0.0005744
38,4672.47,0.47766,0.32027,0.85406,0.9766,0.949,0.99044,0.92385,0.39728,0.26241,0.82091,0.0005348,0.0005348,0.0005348
39,4794.65,0.4701,0.31589,0.85274,0.97622,0.9467,0.99004,0.92308,0.39269,0.25966,0.82215,0.0004952,0.0004952,0.0004952
40,4935.26,0.46602,0.31107,0.85186,0.97016,0.95358,0.99015,0.92226,0.39516,0.25762,0.82124,0.0004556,0.0004556,0.0004556
41,5082.05,0.42229,0.27164,0.82718,0.96833,0.9636,0.99076,0.9218,0.40019,0.2564,0.82294,0.000416,0.000416,0.000416
42,5208.6,0.41088,0.26395,0.82488,0.9733,0.96097,0.99078,0.9254,0.39333,0.25473,0.82276,0.0003764,0.0003764,0.0003764
43,5331.67,0.40881,0.25719,0.82305,0.97024,0.9639,0.99122,0.92624,0.38894,0.2495,0.82112,0.0003368,0.0003368,0.0003368
44,5453.29,0.40214,0.25128,0.82084,0.97172,0.95759,0.99092,0.92917,0.38362,0.24686,0.81908,0.0002972,0.0002972,0.0002972
45,5573,0.39742,0.24965,0.81947,0.96365,0.9722,0.99155,0.93031,0.38321,0.24593,0.81826,0.0002576,0.0002576,0.0002576
