                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6166,                 4.2892,                 1.3591,                0.05983,                0.29051,                 0.0889,                0.06509,                      0,                    inf,                      0,               0.070545,              0.0032727,              0.0032727
                      1,                 1.4173,                 2.9941,                 1.1985,                0.33499,                0.26124,                0.18087,                0.10222,                      0,                    inf,                      0,                0.04048,              0.0065407,              0.0065407
                      2,                 1.4241,                 2.3312,                 1.2498,                0.34586,                0.41315,                0.33423,                0.20056,                      0,                    inf,                      0,               0.010349,              0.0097426,              0.0097426
                      3,                 1.3861,                 2.0756,                 1.2439,                0.62646,                0.45787,                0.56202,                0.35028,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      4,                 1.3596,                 1.7805,                 1.2481,                0.77252,                0.60533,                0.66855,                0.45067,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      5,                 1.3203,                 1.6205,                 1.2437,                0.83853,                0.71135,                0.76135,                0.53643,                      0,                    inf,                      0,               0.009604,               0.009604,               0.009604
                      6,                 1.2954,                 1.5001,                 1.2195,                0.86285,                0.65483,                0.77375,                0.55045,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                      7,                 1.2761,                 1.4052,                  1.204,                 0.8775,                0.79229,                0.84769,                0.60964,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      8,                 1.2321,                  1.336,                 1.1841,                0.92646,                 0.7649,                0.82929,                0.57396,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                      9,                 1.2382,                 1.2891,                 1.1759,                0.89042,                0.77837,                0.85307,                0.53129,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                     10,                 1.2335,                 1.2503,                 1.1779,                0.92836,                0.75128,                0.84762,                0.60029,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
                     11,                 1.1972,                 1.2162,                 1.1569,                0.91823,                0.76855,                0.85058,                0.58092,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     12,                 1.1854,                 1.1866,                 1.1589,                0.89247,                0.85674,                0.90239,                0.65516,                      0,                    inf,                      0,               0.008911,               0.008911,               0.008911
                     13,                 1.1769,                 1.1477,                 1.1426,                0.91308,                0.75573,                0.88474,                0.60167,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                     14,                 1.1729,                 1.1244,                 1.1399,                0.93129,                 0.8757,                0.91989,                 0.6578,                      0,                    inf,                      0,               0.008713,               0.008713,               0.008713
                     15,                 1.1534,                 1.0958,                 1.1347,                0.86742,                0.90503,                0.90932,                0.63162,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                     16,                 1.1406,                 1.0889,                 1.1252,                0.94109,                 0.8583,                0.91301,                0.65726,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                     17,                 1.1303,                 1.0794,                 1.1255,                0.90974,                0.86227,                0.91038,                0.64491,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     18,                 1.1186,                 1.0466,                 1.1145,                0.94426,                 0.8734,                0.91557,                0.64095,                      0,                    inf,                      0,               0.008317,               0.008317,               0.008317
                     19,                 1.1235,                 1.0235,                 1.1088,                0.86851,                0.86769,                0.89029,                0.60715,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     20,                  1.105,                 1.0032,                 1.1027,                0.92526,                0.87978,                0.91402,                0.66612,                      0,                    inf,                      0,               0.008119,               0.008119,               0.008119
                     21,                 1.1096,                0.99582,                 1.1037,                0.83471,                0.89174,                0.89148,                 0.6465,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     22,                 1.0929,                 0.9793,                 1.0976,                0.94435,                0.80013,                0.90386,                 0.6397,                      0,                    inf,                      0,               0.007921,               0.007921,               0.007921
                     23,                 1.0754,                0.95312,                 1.0873,                0.96332,                0.88821,                0.91823,                0.68308,                      0,                    inf,                      0,               0.007822,               0.007822,               0.007822
                     24,                 1.0673,                0.94174,                 1.0865,                0.96207,                 0.8925,                0.92064,                0.68948,                      0,                    inf,                      0,               0.007723,               0.007723,               0.007723
                     25,                 1.0807,                0.93801,                 1.0852,                0.90835,                0.89067,                0.91025,                0.65017,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
                     26,                 1.0634,                0.91564,                 1.0727,                0.95322,                  0.881,                0.91354,                0.61398,                      0,                    inf,                      0,               0.007525,               0.007525,               0.007525
                     27,                 1.0505,                0.88726,                 1.0717,                0.96455,                0.86723,                0.91377,                0.67515,                      0,                    inf,                      0,               0.007426,               0.007426,               0.007426
                     28,                 1.0528,                0.89283,                 1.0735,                0.91636,                0.86541,                0.90189,                0.66176,                      0,                    inf,                      0,               0.007327,               0.007327,               0.007327
